"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"428","5121","097","株式会社　リペイ","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:54)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","小林　政則"
"429","5121","177","小島建興株式会社","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:58)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","高橋　健吉"
"430","5121","133","株式会社　クローバーキッチン","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:56)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","安田　祥英"
"431","5121","122","株式会社　ニッソク広島","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:55)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","横井　要"
"432","5121","201","Ｎｅｘｔ　株式会社","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:59)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","山田　健司"
"433","5121","211","有限会社　佐久間運送","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:00)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","高橋　健吉"
"434","5121","037","有限会社　リセット","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:52)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","山田　健司"
"435","5121","129","有限会社　モリモト建装","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:56)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","佐藤　秀史"
"436","5121","204","有限会社　小笠原モータース","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:59)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","木村　大介"
"437","5121","153","有限会社　グローブ","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:57)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","横井　要"
"438","5121","141","有限会社　プチ","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:57)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","高橋　健吉"
"439","5121","140","有限会社　ダイクス","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:57)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","横井　要"
"440","5121","127","株式会社　広島ハウジング","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:56)",,"完了","済"," 4. 6.10(20:15)","正常","正常",,,,"－","岡村　直幸"
"441","5121","125","有限会社　上剃建設","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:55)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","加藤　雄也"
"442","5121","093","株式会社　山陽タオル","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:54)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","佐々木　博也"
"443","5121","067","有限会社　ファイン","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:53)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","山田　健司"
"444","5121","052","株式会社　ヨコロ","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:52)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","岡村　直幸"
"445","5121","044","広島ラヂエーター　株式会社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:52)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","山田　健司"
"446","5121","034","有限会社　魚勝","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:52)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","横井　要"
"447","5121","028","有限会社　坂本システム","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:51)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","横井　要"
"448","5121","023","有限会社　ウタニ","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:51)",,"完了","済"," 4. 6.10(20:14)","正常","正常",,,,"－","前田　拓哉"
"449","5121","012","有限会社　広島シティサービス","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:48)",,"完了","済"," 4. 6.10(19:40)","正常","正常",,,,"－","山田　健司"
"450","5121","378","株式会社　ＵＮＩＴＥＤ","2","（地方）異動届","広島市"," 4. 6. 6(10:06)",,"完了","済"," 4. 6.10(09:03)","正常","正常",,,,"－","大神　浩央"
"451","5121","378","株式会社　ＵＮＩＴＥＤ","2","（地方）異動届","広島県西部県税事務所（広島）"," 4. 6. 6(10:06)",,"完了","済"," 4. 6.10(09:03)","正常","正常",,,,"－","大神　浩央"
"452","5121","378","株式会社　ＵＮＩＴＥＤ","2","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 6. 6(10:06)",,"完了","済"," 4. 6.10(09:03)","正常","正常",,,,"－","大神　浩央"
"453","5121","378","株式会社　ＵＮＩＴＥＤ","2","異動届出書","税務署"," 4. 6. 6(10:06)",,"完了","済"," 4. 6.10(09:02)","正常","正常",,,,"－","大神　浩央"
"454","99999","789","九重株式会社","7","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 6. 1(15:33)",,"完了","済"," 4. 6.10(09:02)","正常","正常",,,,"－","大神　浩央"
"455","99999","789","九重株式会社","7","消費税課税事業者届出書","税務署"," 4. 6. 1(15:33)",,"完了","済"," 4. 6.10(09:02)","正常","正常",,,,"－","大神　浩央"
"456","15180","683","清耽","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 6. 7(13:30)",,"完了","済"," 4. 6.10(09:02)","正常","正常",,,,"－","杉山　穂波"
"457","15180","999","両儀","12","所得税・消費税の納税地の異動又は変更に関する届出書","税務署"," 4. 6. 7(18:26)",,"完了","済"," 4. 6.10(09:02)","正常","正常",,,,"－","安田　祥英"
"458","5121","225","合同会社　広和カンパニー","11","（地方）法人設立・設置届出書","広島県西部県税事務所（広島）"," 4. 6. 2(17:26)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"459","5121","225","合同会社　広和カンパニー","11","（地方）法人設立・設置届出書","広島市"," 4. 6. 2(13:21)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"460","5121","225","合同会社　広和カンパニー","11","減価償却資産の償却方法の届出書","税務署"," 4. 6. 2(13:20)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"461","5121","225","合同会社　広和カンパニー","11","棚卸資産の評価方法の届出書","税務署"," 4. 6. 2(13:20)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"462","5121","225","合同会社　広和カンパニー","11","青色申告の承認申請書","税務署"," 4. 6. 2(13:20)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"463","5121","225","合同会社　広和カンパニー","11","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 6. 2(17:26)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"464","5121","225","合同会社　広和カンパニー","11","法人設立届出書","税務署"," 4. 6. 2(13:21)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","上畠　達也"
"465","15180","211","ｓａｐｐｕｙｅｒ","12","消費税課税事業者届出書","税務署"," 4. 6. 3(14:43)",,"完了","済"," 4. 6. 9(08:40)","正常","正常","有",,"○","－","年岡　藍子"
"466","5121","827","株式会社　ＪＵＮＳＨＯ","3","消費税課税事業者届出書","税務署"," 4. 6. 3(14:26)",,"完了","済"," 4. 6. 9(08:40)","正常","正常",,,"○","－","年岡　藍子"
"467","15180","231","Ｈａｉｒ　クレセント","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 5.31(07:56)",,"完了","済"," 4. 6. 9(08:39)","正常","正常",," 4. 5.31","○","－","吉田　由美"
"468","5121","412","中山　昭子",,"所得税及び復興特別所得税の更正の請求書(令和3年分以降用)","税務署"," 4. 6. 8(11:25)",,"完了","済"," 4. 6. 8(19:31)","正常","正常","有",,,"－","吉田　政偉"
"469","5121","379","株式会社　谷村屋","5","消費税簡易課税制度選択届出書","税務署"," 4. 5.31(08:48)",,"完了","済"," 4. 5.31(15:00)","正常","正常",,,,"－","安田　祥英"
"470","5121","379","株式会社　谷村屋","5","消費税課税事業者届出書","税務署"," 4. 5.31(08:48)",,"完了","済"," 4. 5.31(15:00)","正常","正常",,,,"－","安田　祥英"
"471","5121","478","スリーピース　株式会社","3","（金銭交付用）事前確定届出給与に関する届出書","税務署"," 4. 5.31(13:29)",,"完了","済"," 4. 5.31(15:00)","正常","正常",," 4. 5.31",,"－","二間　晃治"
"472","5121","625","山口　誠子",,"所得税・消費税の納税地の異動又は変更に関する届出書","税務署"," 4. 5. 6(20:07)",,"完了","済"," 4. 5.31(13:26)","正常","正常",,,,"－","吉川　知希"
"473","5121","530","株式会社　サンエイチ","9","（地方）法人設立・設置届出書","広島市"," 4. 5.25(20:52)",,"完了","済"," 4. 5.30(11:15)","正常","正常",,,"○","－","木村　大介"
"474","5121","530","株式会社　サンエイチ","9","（地方）法人設立・設置届出書","広島県西部県税事務所（広島）"," 4. 5.25(19:58)",,"完了","済"," 4. 5.30(11:14)","正常","正常",,,"○","－","木村　大介"
"475","5121","852","株式会社　真尚興業","2","（地方）異動届","広島市"," 4. 5.26(11:42)",,"完了","済"," 4. 5.30(11:14)","正常","正常",,,"○","－","横井　要"
"476","5121","852","株式会社　真尚興業","2","（地方）異動届","広島県西部県税事務所（広島）"," 4. 5.26(11:42)",,"完了","済"," 4. 5.30(11:14)","正常","正常",,,"○","－","横井　要"
"477","5121","530","株式会社　サンエイチ","9","青色申告の承認申請書","税務署"," 4. 5.25(19:58)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","木村　大介"
"478","5121","530","株式会社　サンエイチ","9","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 5.25(19:58)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","木村　大介"
"479","5121","530","株式会社　サンエイチ","9","法人設立届出書","税務署"," 4. 5.25(20:50)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","木村　大介"
"480","5121","852","株式会社　真尚興業","2","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 5.26(11:53)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","横井　要"
"481","5121","852","株式会社　真尚興業","2","異動届出書","税務署"," 4. 5.26(11:56)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","横井　要"
"482","99999","395","安森　聡太朗","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 5.24(08:29)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","安田　祥英"
"483","5121","285","株式会社　ＹＩＳグループ","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.27(08:58)",,"完了","済"," 4. 5.30(11:10)","正常","正常",," 4. 5.31","○","－","山﨑　智之"
"484","5121","733","弘大産業　株式会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.27(16:31)",,"完了","済"," 4. 5.30(11:10)","正常","正常",,,"○","－","上畠　達也"
"485","5121","102","株式会社　ＢＩＲＤ","2","消費税課税事業者届出書","税務署"," 4. 5. 2(17:02)",,"完了","済"," 4. 5.26(13:26)","正常","正常",,,,"－","大神　浩央"
"486","15180","045","セブンイレブン広島戸坂南店","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.13(09:26)",,"完了","済"," 4. 5.26(13:26)","正常","正常","有",,,"－","越智　俊仁"
"487","5121","439","有限会社　サイレンス","3","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 5.20(16:10)",,"完了","済"," 4. 5.26(13:26)","正常","正常",," 4. 5.31",,"－","吉田　由美"
"488","5121","413","沖野　陽輔",,"個人事業の開業・廃業等届出書","税務署"," 4. 5.17(08:37)",,"完了","済"," 4. 5.24(08:39)","正常","正常",,,"○","－","安田　祥英"
"489","15180","626","セブンイレブン広島八木１丁目店","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.17(08:46)",,"完了","済"," 4. 5.24(08:39)","正常","正常","有",,"○","－","三上　貴史"
"490","15180","626","セブンイレブン広島八木１丁目店","12","青色事業専従者給与に関する届出・変更届出書","税務署"," 4. 5.17(08:46)",,"完了","済"," 4. 5.24(08:39)","正常","正常","有",,"○","－","三上　貴史"
"491","5121","425","株式会社　サンキョウ","2","（金銭交付用）事前確定届出給与に関する届出書","税務署"," 4. 5.19(15:44)",,"完了","済"," 4. 5.24(08:39)","正常","正常",," 4. 5.31","○","－","山﨑　智之"
"492","15180","099","セブンイレブン広島緑井５丁目店","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.17(08:53)",,"完了","済"," 4. 5.24(08:39)","正常","正常","有",,"○","－","三上　貴史"
"493","5121","669","安登夢　合同会社　","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.20(09:45)",,"完了","済"," 4. 5.24(08:39)","正常","正常",,,"○","－","奥谷　佐代子"
"494","5121","218","みつば産業　有限会社","9","消費税課税事業者届出書","税務署"," 4. 5.19(08:46)",,"完了","済"," 4. 5.24(08:39)","正常","正常",,,"○","－","山﨑　智之"
"495","15180","745","ＳＷＩＮＧＩＮＧ　ＢＩＲＤ　ＫＩＴＣＨＥＮ","12","消費税及び地方消費税の更正の請求書（個人事業者用）(令和2年1月1日以後終了する課税期間用)","税務署"," 4. 5.19(20:32)",,"完了","済"," 4. 5.20(08:43)","正常","正常","有",,,"－","吉川　知希"
"496","5121","413","株式会社　Ｙ＆Ｅ","2","（地方）法人設立・設置届出書","広島市"," 4. 5.17(08:35)",,"完了","済"," 4. 5.19(09:48)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"497","5121","413","株式会社　Ｙ＆Ｅ","2","（地方）法人設立・設置届出書","広島県西部県税事務所（広島）"," 4. 5.17(08:35)",,"完了","済"," 4. 5.19(09:48)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"498","99999","390","土井　正男",,"給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 5.13(10:29)",,"完了","済"," 4. 5.19(09:48)","正常","正常",,,"○","－","山﨑　智之"
"499","5121","413","株式会社　Ｙ＆Ｅ","2","源泉所得税の納期の特例の承認に関する申請書","税務署"," 4. 5.16(15:27)",,"完了","済"," 4. 5.19(09:48)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"500","5121","413","株式会社　Ｙ＆Ｅ","2","青色申告の承認申請書","税務署"," 4. 5.17(08:35)",,"完了","済"," 4. 5.19(09:47)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"501","5121","413","株式会社　Ｙ＆Ｅ","2","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 5.17(08:35)",,"完了","済"," 4. 5.19(09:47)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"502","5121","413","株式会社　Ｙ＆Ｅ","2","法人設立届出書","税務署"," 4. 5.17(08:36)",,"完了","済"," 4. 5.19(09:47)","正常","正常",," 4. 6. 9","○","－","安田　祥英"
"503","5121","400","広島県建設労働組合　第七地域連合広島","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.17(16:06)",,"完了","済"," 4. 5.19(09:47)","正常","正常",,,"○","－","安田　祥英"
"504","15180","403","山川電工","12","適格請求書発行事業者の登録申請書(国内事業者用)・公表事項の公表(変更)申出書","税務署"," 4. 5.16(15:20)",,"完了","済"," 4. 5.19(09:47)","正常","正常","有",,"○","－","年岡　藍子"
"505","15180","403","山川電工","12","青色事業専従者給与に関する届出・変更届出書","税務署"," 4. 4.25(17:48)",,"完了","済"," 4. 5.19(09:47)","正常","正常","有",,"○","－","年岡　藍子"
"506","5121","282","株式会社　ＫＩｗｏｒｋｓ","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 5.17(16:06)",,"完了","済"," 4. 5.19(09:47)","正常","正常",,,"○","－","安田　祥英"
"507","15180","357","ヘアスタジオ　ＬＯＦＴ","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 4.18(11:55)",,"完了","済"," 4. 5.19(09:47)","正常","正常",,,"○","－","宮奥　千悠"
"508","15180","946","ローソン廿日市梅原店","12","換価の猶予申請書（収支明細書及び財産目録）","税務署"," 4. 5.17(18:20)",,"完了","済"," 4. 5.17(18:42)","正常","正常","有",,,"－","飛垣内　恵美子"
"509","5121","270","株式会社　グローグッドコーポレーション","2","（地方）異動届","安芸高田市"," 4. 5. 2(14:19)",,"完了","済"," 4. 5.11(16:13)","正常","正常",,,,"－","木村　大介"
"510","5121","270","株式会社　グローグッドコーポレーション","2","（地方）異動届","広島市"," 4. 5. 2(14:19)",,"完了","済"," 4. 5.11(16:13)","正常","正常",,,,"－","木村　大介"
"511","5121","076","医療法人社団　稲垣内科","7","（地方）異動届","広島市"," 4. 4.29(15:41)",,"完了","済"," 4. 5. 9(12:46)","正常","正常",,,"○","－","河野　秀太"
"512","5121","076","医療法人社団　稲垣内科","7","（地方）異動届","広島県西部県税事務所（広島）"," 4. 4.29(15:41)",,"完了","済"," 4. 5. 9(12:46)","正常","正常",,,"○","－","河野　秀太"
"513","5121","982","株式会社　大和屋","12","（地方）異動届","広島市"," 4. 4.28(18:03)",,"完了","済"," 4. 5. 9(12:46)","正常","正常",,,"○","－","大神　浩央"
"514","5121","982","株式会社　大和屋","12","（地方）異動届","広島県西部県税事務所（廿日市）"," 4. 4.28(18:03)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","大神　浩央"
"515","5121","517","株式会社　昇和建設","9","（地方）異動届","広島市"," 4. 4.28(17:56)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","大神　浩央"
"516","5121","517","株式会社　昇和建設","9","（地方）異動届","広島県西部県税事務所（広島）"," 4. 4.28(17:56)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","大神　浩央"
"517","5121","982","株式会社　大和屋","12","異動届出書","税務署"," 4. 4.28(18:03)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","大神　浩央"
"518","5121","517","株式会社　昇和建設","9","異動届出書","税務署"," 4. 4.28(17:56)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","大神　浩央"
"519","5121","076","医療法人社団　稲垣内科","7","異動届出書","税務署"," 4. 4.29(15:41)",,"完了","済"," 4. 5. 9(12:45)","正常","正常",,,"○","－","河野　秀太"
"520","15180","011","西村　英亨","12","事業廃止届出書（消費税）","税務署"," 4. 4.27(10:11)",,"完了","済"," 4. 5. 6(17:07)","正常","正常",,,"○","－","池上　明日香"
"521","15180","011","西村　英亨","12","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 4.27(10:11)",,"完了","済"," 4. 5. 6(17:06)","正常","正常",,,"○","－","池上　明日香"
"522","15180","011","西村　英亨","12","個人事業の開業・廃業等届出書","税務署"," 4. 4.27(10:11)",,"完了","済"," 4. 5. 6(17:06)","正常","正常",,,"○","－","池上　明日香"
"523","5121","934","株式会社　Ｔ－ｓｔｙｌｅ","1","（地方）異動届","広島市"," 4. 4.28(08:58)",,"完了","済"," 4. 5. 2(10:15)","正常","正常",,,"○","－","飛垣内　恵美子"
"524","5121","934","株式会社　Ｔ－ｓｔｙｌｅ","1","（地方）異動届","広島県西部県税事務所（広島）"," 4. 4.28(08:59)",,"完了","済"," 4. 5. 2(10:15)","正常","正常",,,"○","－","飛垣内　恵美子"
"525","5121","934","株式会社　Ｔ－ｓｔｙｌｅ","1","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 4.28(08:59)",,"完了","済"," 4. 5. 2(10:07)","正常","正常",,,"○","－","飛垣内　恵美子"
"526","5121","934","株式会社　Ｔ－ｓｔｙｌｅ","1","異動届出書","税務署"," 4. 4.28(09:00)",,"完了","済"," 4. 5. 2(10:07)","正常","正常",,,"○","－","飛垣内　恵美子"
"527","5121","166","株式会社　スマイラック","2","欠損金の繰戻しによる還付請求書","税務署"," 4. 4.22(09:31)",,"完了","済"," 4. 4.29(14:18)","正常","正常",,,,"－","胤森　和樹"
"528","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","萩市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"529","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","山口県萩県税事務所"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"530","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","東広島市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"531","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","三次市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"532","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","福山市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"533","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","三原市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"534","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","呉市"," 4. 4.27(14:36)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"535","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","広島市"," 4. 4.27(14:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"536","5121","585","相生エンジニアリング株式会社","8","（地方）異動届","広島県西部県税事務所（広島）"," 4. 4.27(14:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"537","5121","156","株式会社　ティアンドエス","2","（金銭交付用）事前確定届出給与に関する届出書","税務署"," 4. 4.27(13:43)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"538","15180","208","Ｂｌｏｏｍｉｎｇ","12","消費税課税事業者届出書","税務署"," 4. 4.26(08:38)",,"完了","済"," 4. 4.28(18:24)","正常","正常","有",,,"－","岡本　拓"
"539","15180","208","Ｂｌｏｏｍｉｎｇ","12","消費税簡易課税制度選択届出書","税務署"," 4. 4.26(08:38)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岡本　拓"
"540","15180","308","広島ホーム設計","12","所得税の青色申告の取りやめ届出書","税務署"," 4. 4.27(08:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","塚澤　愛"
"541","15180","308","広島ホーム設計","12","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 4.27(08:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","塚澤　愛"
"542","15180","308","広島ホーム設計","12","個人事業の開業・廃業等届出書","税務署"," 4. 4.27(08:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","塚澤　愛"
"543","15180","509","ヘアーサロン　ヤマサキ","12","所得税・消費税の納税地の異動又は変更に関する届出書","税務署"," 4. 4.11(10:23)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","宮奥　千悠"
"544","5121","585","相生エンジニアリング株式会社","8","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 4.27(14:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"545","5121","585","相生エンジニアリング株式会社","8","異動届出書","税務署"," 4. 4.27(14:37)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岩崎　健大"
"546","15180","335","葵光房スタジオ","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 4.21(10:59)",,"完了","済"," 4. 4.28(18:24)","正常","正常",,,,"－","岡本　拓"
"547","5121","844","株式会社　ＧＬＬ工業","4","（地方）異動届","広島市"," 4. 4.25(12:39)",,"完了","済"," 4. 4.28(18:10)","正常","正常",," 4. 4.28",,"－","二間　晃治"
"548","5121","844","株式会社　ＧＬＬ工業","4","（地方）異動届","広島県西部県税事務所（廿日市）"," 4. 4.25(12:39)",,"完了","済"," 4. 4.28(18:10)","正常","正常",," 4. 4.28",,"－","二間　晃治"
"549","5121","983","有限会社　熊本企画","3","（地方）異動届","広島市"," 4. 4.28(08:47)",,"完了","済"," 4. 4.28(18:10)","正常","正常",," 4. 4.28",,"－","吉田　由美"
"550","5121","983","有限会社　熊本企画","3","（地方）異動届","広島県西部県税事務所（広島）"," 4. 4.28(08:47)",,"完了","済"," 4. 4.28(18:10)","正常","正常",," 4. 4.28",,"－","吉田　由美"
"551","5121","844","株式会社　ＧＬＬ工業","4","異動届出書","税務署"," 4. 4.25(12:39)",,"完了","済"," 4. 4.28(18:10)","正常","正常",," 4. 4.28",,"－","二間　晃治"
"552","5121","983","有限会社　熊本企画","3","異動届出書","税務署"," 4. 4.28(08:47)",,"完了","済"," 4. 4.28(18:09)","正常","正常",," 4. 4.28",,"－","吉田　由美"
"553","15180","375","ココ歯科","12","源泉所得税の納期の特例の承認に関する申請書","税務署"," 4. 4. 4(16:16)",,"完了","済"," 4. 4.21(16:23)","正常","正常",,,"○","－","胤森　和樹"
"554","15180","375","ココ歯科","12","所得税の青色申告承認申請書","税務署"," 4. 4. 4(16:16)",,"完了","済"," 4. 4.21(16:22)","正常","正常",,,"○","－","胤森　和樹"
"555","15180","375","ココ歯科","12","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 4. 4(16:16)",,"完了","済"," 4. 4.21(16:22)","正常","正常",,,"○","－","胤森　和樹"
"556","15180","375","ココ歯科","12","個人事業の開業・廃業等届出書","税務署"," 4. 4. 4(16:16)",,"完了","済"," 4. 4.21(16:22)","正常","正常",,,"○","－","胤森　和樹"
"557","5121","683","河野　元気",,"所得税・消費税の納税地の異動又は変更に関する届出書","税務署"," 4. 3.28(16:23)",,"完了","済"," 4. 4.21(16:20)","正常","正常",,,"○","－","三上　貴史"
"558","5121","632","未来夢　株式会社","3","（地方）異動届","綾川町"," 4. 4.14(17:50)",,"完了","済"," 4. 4.21(16:13)","正常","正常",,,"○","－","加藤　雄也"
"559","5121","632","未来夢　株式会社","3","（地方）異動届","香川県県税事務所"," 4. 4.14(17:50)",,"完了","済"," 4. 4.21(16:13)","正常","正常",,,"○","－","加藤　雄也"
"560","5121","523","医療法人しみずハート内科クリニック","2","消費税課税事業者届出書","税務署"," 4. 4.19(10:03)",,"完了","済"," 4. 4.21(16:00)","正常","正常",,,"○","－","小林　政則"
"561","99999","390","土井　正男",,"青色事業専従者給与に関する届出・変更届出書","税務署"," 4. 4. 4(10:00)",,"完了","済"," 4. 4.21(15:58)","正常","正常","有"," 4. 4.30","○","－","山﨑　智之"
"562","99999","390","土井　正男",,"源泉所得税の納期の特例の承認に関する申請書","税務署"," 4. 4. 4(10:00)",,"完了","済"," 4. 4.21(15:58)","正常","正常",," 4. 4.30","○","－","山﨑　智之"
